[0, 6] ; [26, 30]
[25, 29] ; [33, 39]
[3, 7] ; [12, 24]
[0, 3] ; [15, 17]
[43, 46] ; [16, 18]
[0, 4] ; [21, 23]
[43, 47] ; [48, 61]
[12, 17] ; [59, 67]
[0, 6] ; [29, 32]
[0, 5] ; [53, 60]
[29, 37] ; [14, 18]
[5, 8] ; [153, 159]
[-1, 18] ; [21, 25]
[1, 4] ; [121, 123]
[2, 6] ; [18, 20]
[0, 2] ; [14, 16]
[107, 109] ; [3, 6]
[20, 25] ; [112, 117]
[138, 141] ; [170, 174]
[4, 7] ; [23, 25]
[0, 6] ; [78, 80]
[0, 7] ; [11, 13]
[-1, 18] ; [55, 58]
[0, 7] ; [90, 95]
[0, 2] ; [33, 43]
[36, 42] ; [59, 65]
[0, 7] ; [26, 31]
[30, 37] ; [23, 25]
[51, 59] ; [21, 30]
[31, 34] ; [95, 98]
[39, 42] ; [47, 51]
[0, 4] ; [39, 42]
[215, 221] ; [223, 234]
[13, 17] ; [62, 76]
[0, 7] ; [41, 45]
[17, 24] ; [37, 45]
[13, 15] ; [43, 52]
[0, 4] ; [24, 30]
[11, 16] ; [84, 86]
[0, 4] ; [25, 29]
[50, 58] ; [64, 74]
[3, 10] ; [70, 77]
[4, 9] ; [68, 70]
[0, 5] ; [52, 58]
[-1, 18] ; [44, 51]
[2, 11] ; [63, 68]
[0, 5] ; [9, 16]
[0, 6] ; [10, 15]
[2, 8] ; [75, 80]
[53, 61] ; [74, 76]
[8, 16] ; [28, 30]
[0, 4] ; [42, 48]
[15, 22] ; [47, 50]
[2, 9] ; [51, 57]
[0, 5] ; [6, 9]
[44, 47] ; [10, 12]
[30, 32] ; [74, 78]
[30, 34] ; [77, 79]
[56, 62] ; [20, 26]
[4, 10] ; [54, 63]
[14, 18] ; [-1, 17]
[0, 8] ; [9, 21]
[13, 15] ; [16, 23]
[3, 8] ; [58, 64]
[0, 5] ; [18, 20]
[175, 180] ; [181, 187]
[42, 47] ; [103, 107]
[2, 7] ; [77, 82]
[64, 67] ; [78, 83]
[116, 123] ; [19, 20]
[33, 36] ; [0, 8]
[38, 42] ; [43, 45]
[0, 6] ; [24, 30]
[0, 2] ; [8, 12]
[0, 7] ; [20, 24]
[9, 13] ; [14, 17]
[0, 7] ; [29, 33]
[19, 23] ; [11, 13]
[0, 6] ; [67, 71]
[2, 8] ; [199, 207]
[10, 15] ; [91, 96]
[17, 21] ; [31, 33]
[4, 12] ; [19, 21]
[25, 27] ; [78, 83]
[21, 27] ; [78, 81]
[0, 3] ; [14, 26]
[36, 39] ; [-1, 17]
[10, 14] ; [16, 20]
[0, 4] ; [36, 39]
[8, 11] ; [17, 19]
[-1, 18] ; [33, 38]
[0, 7] ; [17, 19]
[3, 6] ; [39, 48]
[4, 7] ; [114, 116]
[0, 5] ; [11, 16]
[0, 7] ; [113, 121]
[230, 235] ; [2, 4]
[0, 5] ; [11, 19]
[7, 16] ; [77, 81]
[5, 10] ; [190, 192]
[25, 30] ; [17, 22]
[4, 10] ; [68, 73]
[29, 39] ; [99, 102]
[29, 31] ; [26, 28]
[50, 58] ; [17, 21]
[0, 3] ; [6, 11]
[3, 11] ; [20, 56]
[0, 7] ; [36, 40]
[35, 42] ; [40, 42]
[72, 75] ; [43, 46]
[21, 30] ; [131, 134]
[2, 8] ; [73, 83]
[10, 19] ; [56, 63]
[0, 2] ; [11, 20]
[0, 3] ; [24, 32]
[18, 23] ; [28, 32]
[30, 37] ; [46, 49]
[3, 8] ; [101, 103]
[0, 6] ; [26, 30]
[79, 86] ; [-1, 17]
[0, 9] ; [36, 38]
[6, 10] ; [85, 90]
[0, 5] ; [93, 97]
[24, 26] ; [29, 35]
[25, 33] ; [80, 83]
[3, 8] ; [9, 28]
[40, 46] ; [70, 72]
[0, 5] ; [189, 197]
[0, 3] ; [37, 42]
[22, 26] ; [35, 39]
[0, 9] ; [101, 103]
[7, 16] ; [91, 93]
[25, 30] ; [14, 19]
[64, 73] ; [74, 83]
[0, 3] ; [28, 31]
[20, 25] ; [32, 36]
[31, 40] ; [82, 86]
[10, 15] ; [30, 33]
[2, 7] ; [93, 95]
[0, 6] ; [43, 51]
[44, 49] ; [36, 40]
[7, 14] ; [44, 48]
[0, 6] ; [79, 83]
[3, 12] ; [108, 111]
[0, 3] ; [17, 23]
[0, 2] ; [3, 8]
[0, 3] ; [16, 21]
[49, 58] ; [64, 73]
[13, 15] ; [130, 132]
[0, 7] ; [30, 32]
[0, 3] ; [17, 19]
[59, 69] ; [31, 40]
[0, 5] ; [12, 16]
[0, 4] ; [51, 59]
[0, 6] ; [82, 86]
[7, 12] ; [15, 23]
[9, 12] ; [66, 69]
[5, 14] ; [76, 80]
[72, 75] ; [14, 18]
[21, 26] ; [50, 54]
[3, 8] ; [61, 64]
[8, 10] ; [36, 38]
[75, 82] ; [221, 226]
[0, 4] ; [27, 31]
[0, 6] ; [38, 43]
[33, 35] ; [96, 102]
[0, 10] ; [146, 152]
[16, 21] ; [25, 31]
[6, 12] ; [-1, 17]
[119, 123] ; [19, 20]
[1, 4] ; [63, 65]
[7, 16] ; [24, 28]
[33, 43] ; [76, 80]
[0, 2] ; [6, 13]
[9, 12] ; [86, 88]
[6, 11] ; [18, 24]
[30, 34] ; [47, 51]
[14, 23] ; [-1, 17]
[0, 3] ; [7, 12]
[0, 4] ; [29, 33]
[66, 70] ; [201, 207]
[0, 4] ; [10, 16]
[0, 5] ; [14, 16]
[0, 2] ; [60, 66]
[32, 36] ; [15, 19]
[0, 4] ; [174, 177]
[143, 150] ; [11, 18]
[15, 18] ; [120, 124]
[27, 35] ; [68, 80]
[23, 27] ; [150, 154]
[2, 7] ; [34, 38]
[4, 10] ; [40, 42]
[0, 5] ; [28, 31]
[3, 8] ; [54, 68]
[9, 14] ; [59, 61]
[0, 3] ; [7, 16]
[5, 10] ; [39, 46]
[94, 98] ; [108, 114]
[12, 18] ; [3, 11]
[0, 7] ; [16, 20]
[0, 10] ; [62, 64]
[0, 2] ; [42, 44]
[0, 6] ; [46, 52]
[90, 100] ; [151, 156]
[0, 6] ; [33, 35]
[42, 47] ; [9, 12]
[3, 6] ; [128, 131]
[0, 5] ; [46, 54]
[23, 31] ; [50, 59]
[30, 34] ; [85, 87]
[2, 6] ; [79, 84]
[5, 8] ; [11, 17]
[2, 6] ; [7, 15]
[5, 11] ; [30, 32]
[4, 9] ; [26, 30]
[2, 8] ; [61, 63]
[40, 42] ; [43, 47]
[0, 9] ; [44, 49]
[2, 6] ; [11, 28]
[0, 6] ; [64, 66]
[0, 7] ; [106, 108]
[2, 11] ; [40, 45]
[6, 11] ; [57, 63]
[20, 28] ; [52, 56]
[71, 79] ; [3, 11]
[17, 24] ; [51, 54]
[6, 13] ; [32, 38]
[0, 4] ; [8, 10]
[0, 4] ; [101, 105]
[6, 12] ; [-1, 17]
[2, 8] ; [100, 110]
[0, 10] ; [84, 87]
[2, 6] ; [91, 96]
[56, 61] ; [73, 75]
[0, 8] ; [143, 149]
[113, 116] ; [71, 73]
[0, 2] ; [40, 44]
[209, 213] ; [214, 229]
[16, 21] ; [50, 53]
[16, 19] ; [102, 109]
[2, 9] ; [106, 110]
[0, 5] ; [47, 51]
[42, 46] ; [64, 66]
[43, 48] ; [60, 64]
[3, 10] ; [128, 135]
[3, 19] ; [20, 24]
[0, 10] ; [40, 45]
[6, 10] ; [21, 24]
[137, 140] ; [210, 213]
[0, 8] ; [14, 20]
[6, 10] ; [137, 140]
[0, 7] ; [31, 35]
[23, 33] ; [77, 84]
[0, 5] ; [15, 19]
[0, 8] ; [56, 58]
[0, 6] ; [9, 11]
[15, 24] ; [7, 13]
[7, 11] ; [61, 65]
[37, 40] ; [112, 116]
[-1, 18] ; [70, 75]
[0, 3] ; [15, 21]
[0, 3] ; [75, 82]
[0, 5] ; [6, 16]
[0, 4] ; [26, 31]
[4, 10] ; [15, 19]
[68, 78] ; [160, 164]
[0, 2] ; [39, 43]
[18, 27] ; [49, 51]
[69, 80] ; [134, 138]
[0, 7] ; [33, 37]
[21, 27] ; [55, 61]
[45, 51] ; [123, 131]
[3, 8] ; [54, 56]
[10, 14] ; [29, 33]
[3, 7] ; [38, 41]
[2, 11] ; [105, 114]
[2, 7] ; [34, 39]
[0, 4] ; [47, 54]
[0, 5] ; [32, 42]
[4, 9] ; [26, 30]
[38, 46] ; [68, 75]
[-1, 18] ; [31, 35]
[2, 11] ; [63, 71]
[0, 11] ; [24, 26]
[0, 4] ; [78, 82]
[0, 3] ; [43, 47]
[0, 2] ; [17, 25]
[0, 6] ; [49, 56]
[21, 30] ; [91, 99]
[28, 34] ; [76, 79]
[55, 65] ; [110, 114]
[3, 6] ; [10, 21]
[0, 9] ; [36, 43]
[71, 79] ; [3, 11]
[0, 10] ; [36, 38]
[129, 132] ; [78, 83]
[0, 9] ; [13, 15]
[82, 90] ; [66, 69]
[0, 5] ; [164, 174]
[0, 5] ; [60, 65]
[6, 11] ; [103, 108]
[0, 5] ; [26, 30]
[44, 58] ; [115, 119]
[0, 8] ; [44, 50]
[2, 7] ; [62, 66]
[64, 70] ; [83, 87]
[3, 6] ; [143, 145]
[5, 11] ; [15, 22]
[0, 5] ; [9, 12]
[0, 7] ; [17, 23]
[0, 3] ; [6, 10]
[20, 25] ; [72, 74]
[56, 65] ; [89, 94]
[22, 28] ; [96, 102]
[51, 58] ; [73, 77]
[7, 15] ; [24, 30]
[0, 7] ; [17, 21]
[0, 3] ; [-1, 17]
[0, 4] ; [19, 21]
[2, 11] ; [89, 96]
[17, 25] ; [43, 45]
[0, 5] ; [-1, 17]
[38, 41] ; [49, 59]
[37, 41] ; [75, 77]
[2, 11] ; [34, 36]
[0, 5] ; [32, 38]
[18, 24] ; [72, 74]
[0, 3] ; [6, 10]
[66, 68] ; [47, 51]
[0, 10] ; [71, 77]
[0, 4] ; [29, 31]
[38, 44] ; [2, 16]
[0, 3] ; [24, 28]
[0, 5] ; [34, 40]
[7, 17] ; [18, 45]
[0, 6] ; [67, 72]
[70, 72] ; [2, 5]
[0, 2] ; [17, 19]
[3, 8] ; [182, 184]
[0, 3] ; [44, 47]
[45, 47] ; [23, 26]
[2, 8] ; [77, 81]
[36, 40] ; [57, 59]
[0, 3] ; [25, 27]
[14, 18] ; [44, 49]
[9, 11] ; [22, 32]
[0, 6] ; [26, 28]
[51, 56] ; [98, 105]
[25, 29] ; [79, 81]
[46, 50] ; [86, 91]
[4, 9] ; [116, 121]
[7, 9] ; [34, 37]
[23, 28] ; [17, 22]
[58, 62] ; [6, 8]
[116, 122] ; [4, 9]
[58, 65] ; [110, 114]
[55, 62] ; [32, 40]
[0, 10] ; [11, 14]
[45, 51] ; [76, 79]
[0, 4] ; [7, 12]
[35, 42] ; [45, 48]
[61, 63] ; [39, 47]
[0, 4] ; [74, 81]
[0, 5] ; [29, 32]
[3, 20] ; [52, 58]
[2, 6] ; [22, 27]
[48, 54] ; [55, 60]
[3, 12] ; [113, 117]
[11, 14] ; [22, 25]
[0, 5] ; [41, 43]
[6, 12] ; [22, 26]
[0, 5] ; [84, 88]
[161, 167] ; [202, 206]
[0, 6] ; [31, 33]
[0, 2] ; [45, 49]
[0, 4] ; [27, 31]
[3, 9] ; [97, 100]
[37, 40] ; [52, 54]
[7, 17] ; [84, 89]
[36, 41] ; [56, 61]
[0, 8] ; [9, 13]
[11, 14] ; [0, 5]
[0, 2] ; [42, 51]
[8, 11] ; [17, 19]
[1, 3] ; [29, 33]
[0, 3] ; [37, 41]
[37, 41] ; [67, 77]
[0, 5] ; [25, 28]
[0, 2] ; [143, 150]
[3, 9] ; [10, 14]
[0, 2] ; [12, 16]
[66, 69] ; [36, 43]
[0, 2] ; [37, 42]
[0, 3] ; [61, 64]
[0, 8] ; [9, 12]
[0, 5] ; [46, 53]
[0, 4] ; [8, 15]
[5, 11] ; [106, 113]
[3, 10] ; [52, 59]
[12, 20] ; [27, 30]
[4, 7] ; [47, 50]
[3, 7] ; [59, 63]
[2, 6] ; [32, 35]
[52, 65] ; [31, 35]
[3, 11] ; [115, 122]
[0, 5] ; [80, 84]
[0, 6] ; [49, 56]
[2, 6] ; [131, 137]
[0, 3] ; [31, 33]
[42, 46] ; [104, 112]
[0, 6] ; [13, 17]
[0, 9] ; [44, 49]
[0, 3] ; [34, 37]
[0, 5] ; [18, 21]
[0, 3] ; [7, 12]
[0, 10] ; [148, 152]
[104, 110] ; [111, 117]
[0, 7] ; [36, 40]
[2, 7] ; [56, 64]
[90, 93] ; [54, 56]
[25, 27] ; [77, 85]
[0, 5] ; [63, 66]
[-1, 18] ; [82, 104]
[85, 87] ; [30, 37]
[0, 2] ; [20, 28]
[40, 52] ; [67, 77]
[4, 14] ; [131, 139]
[0, 3] ; [11, 18]
[0, 6] ; [11, 15]
[4, 8] ; [48, 52]
[3, 6] ; [114, 116]
[39, 43] ; [70, 72]
[0, 4] ; [22, 24]
[3, 7] ; [157, 163]
[0, 3] ; [32, 42]
[4, 6] ; [83, 87]
[0, 5] ; [28, 30]
[6, 12] ; [41, 50]
[0, 6] ; [33, 42]
[0, 4] ; [110, 114]
[2, 6] ; [10, 12]
[0, 8] ; [12, 14]
[100, 107] ; [13, 18]
[0, 3] ; [148, 155]
[0, 6] ; [84, 86]
[54, 59] ; [108, 111]
[118, 120] ; [125, 129]
[0, 3] ; [7, 21]
[0, 7] ; [14, 17]
[0, 6] ; [105, 107]
[0, 3] ; [31, 33]
[63, 68] ; [104, 107]
[102, 109] ; [110, 119]
[-1, 18] ; [40, 50]
[0, 4] ; [110, 114]
[2, 7] ; [78, 80]
[9, 12] ; [78, 80]
[3, 7] ; [61, 68]
[3, 13] ; [24, 51]
[15, 20] ; [22, 25]
[0, 6] ; [29, 34]
[7, 16] ; [35, 39]
[0, 2] ; [30, 38]
[0, 2] ; [6, 10]
[0, 2] ; [64, 67]
[0, 6] ; [15, 22]
[12, 16] ; [24, 26]
[34, 38] ; [20, 22]
[11, 13] ; [59, 63]
[6, 10] ; [18, 20]
[3, 10] ; [18, 46]
[0, 6] ; [7, 26]
[78, 80] ; [102, 111]
[4, 7] ; [37, 41]
[0, 4] ; [15, 18]
[8, 14] ; [15, 18]
[0, 4] ; [5, 9]
[0, 4] ; [23, 29]
[0, 9] ; [47, 56]
[0, 6] ; [36, 38]
[3, 6] ; [48, 52]
[0, 3] ; [18, 20]
[-1, 18] ; [123, 128]
[-1, 18] ; [67, 75]
[138, 140] ; [97, 101]
[22, 32] ; [9, 12]
[12, 17] ; [20, 32]
[82, 87] ; [105, 109]
[0, 6] ; [20, 31]
[0, 6] ; [7, 13]
[0, 7] ; [42, 44]
[86, 88] ; [104, 108]
[9, 11] ; [31, 33]
[0, 5] ; [31, 34]
[0, 5] ; [73, 78]
[0, 6] ; [29, 32]
[3, 7] ; [0, 3]
[52, 61] ; [66, 68]
[12, 18] ; [40, 48]
[0, 8] ; [16, 23]
[22, 27] ; [45, 47]
[0, 3] ; [150, 154]
[5, 8] ; [29, 33]
[14, 18] ; [89, 92]
[17, 27] ; [59, 62]
[53, 57] ; [58, 77]
[0, 6] ; [13, 18]
[0, 8] ; [55, 57]
[3, 5] ; [52, 57]
[12, 16] ; [20, 22]
[28, 31] ; [0, 7]
[0, 8] ; [78, 84]
[30, 34] ; [74, 76]
[0, 2] ; [52, 55]
[36, 44] ; [74, 77]
[0, 5] ; [49, 53]
[59, 65] ; [130, 134]
[0, 10] ; [11, 17]
[2, 10] ; [48, 53]
[25, 27] ; [148, 152]
[153, 159] ; [160, 176]
[127, 132] ; [68, 70]
[10, 16] ; [71, 80]
[0, 2] ; [3, 7]
[3, 7] ; [115, 121]
[0, 8] ; [12, 14]
[2, 11] ; [86, 88]
[3, 7] ; [35, 41]
[0, 5] ; [53, 58]
[0, 3] ; [36, 38]
[0, 5] ; [32, 38]
[50, 58] ; [21, 23]
[0, 11] ; [26, 30]
[0, 5] ; [74, 80]
[0, 3] ; [14, 16]
[27, 33] ; [69, 75]
[0, 7] ; [39, 42]
[0, 7] ; [37, 40]
[13, 22] ; [82, 90]
[95, 101] ; [61, 69]
[0, 5] ; [6, 10]
[0, 6] ; [22, 24]
[0, 7] ; [14, 17]
[18, 20] ; [26, 36]
[0, 5] ; [79, 86]
[0, 5] ; [16, 20]
[53, 63] ; [76, 83]
[0, 6] ; [9, 13]
[0, 7] ; [125, 132]
[0, 5] ; [16, 19]
[0, 4] ; [83, 90]
[14, 17] ; [9, 13]
[0, 7] ; [34, 40]
[-1, 18] ; [15, 19]
[0, 4] ; [67, 71]
[21, 29] ; [90, 98]
[32, 41] ; [53, 57]
[4, 9] ; [56, 59]
[0, 5] ; [7, 14]
[-1, 18] ; [14, 18]
[0, 9] ; [58, 62]
[0, 3] ; [13, 18]
[0, 3] ; [74, 76]
[41, 46] ; [142, 144]
[0, 10] ; [23, 32]
[1, 9] ; [35, 43]
[0, 5] ; [7, 10]
[0, 3] ; [48, 58]
[2, 7] ; [45, 47]
[0, 3] ; [11, 16]
[0, 6] ; [56, 61]
[4, 6] ; [16, 17]
[0, 5] ; [40, 46]
[9, 15] ; [0, 5]
[0, 5] ; [6, 10]
[3, 26] ; [82, 86]
[0, 5] ; [9, 16]
[90, 95] ; [46, 49]
[11, 16] ; [87, 92]
[0, 5] ; [81, 91]
[2, 7] ; [93, 95]
[-1, 18] ; [4, 8]
[0, 3] ; [9, 11]
[27, 29] ; [56, 59]
[21, 25] ; [45, 48]
[18, 21] ; [3, 9]
[20, 25] ; [143, 145]
[37, 42] ; [200, 207]
[0, 4] ; [61, 70]
[0, 6] ; [27, 29]
[9, 15] ; [30, 32]
[0, 6] ; [17, 21]
[0, 3] ; [45, 49]
[0, 5] ; [6, 16]
[17, 19] ; [26, 30]
[0, 5] ; [114, 120]
[13, 18] ; [38, 43]
[36, 43] ; [70, 76]
[0, 3] ; [53, 57]
[2, 9] ; [72, 76]
[0, 6] ; [23, 27]
[15, 20] ; [3, 12]
[13, 16] ; [6, 11]
[3, 12] ; [23, 26]
[118, 130] ; [216, 220]
[16, 18] ; [58, 62]
[5, 11] ; [74, 81]
[0, 10] ; [35, 37]
[0, 4] ; [15, 19]
[0, 4] ; [54, 57]
[5, 11] ; [20, 24]
[15, 20] ; [3, 12]
[0, 3] ; [7, 11]
[0, 8] ; [56, 62]
[0, 2] ; [19, 21]
[3, 8] ; [143, 145]
[2, 9] ; [55, 65]
[134, 139] ; [3, 8]
[77, 80] ; [6, 10]
[0, 5] ; [17, 20]
[4, 9] ; [67, 72]
[0, 6] ; [24, 27]
[3, 12] ; [121, 124]
[0, 7] ; [93, 97]
[13, 18] ; [72, 75]
[8, 15] ; [33, 39]
[0, 6] ; [59, 63]
[0, 6] ; [26, 28]
[0, 2] ; [3, 8]
[37, 42] ; [5, 11]
[0, 4] ; [15, 20]
[0, 9] ; [38, 43]
[3, 9] ; [12, 20]
[0, 3] ; [7, 9]
[0, 6] ; [16, 19]
[11, 15] ; [68, 72]
[0, 2] ; [86, 91]
[0, 4] ; [80, 87]
[0, 2] ; [42, 53]
[13, 16] ; [0, 8]
[0, 7] ; [14, 21]
[0, 5] ; [7, 10]
[21, 27] ; [13, 17]
[35, 43] ; [44, 60]
[0, 5] ; [20, 24]
[32, 37] ; [38, 55]
[0, 5] ; [38, 43]
[3, 5] ; [218, 220]
[0, 6] ; [40, 45]
[2, 7] ; [125, 132]
[69, 73] ; [74, 85]
[0, 5] ; [17, 38]
[69, 74] ; [21, 28]
[17, 19] ; [92, 97]
[0, 6] ; [23, 25]
[23, 25] ; [58, 62]
[8, 11] ; [15, 19]
[0, 5] ; [-1, 17]
[0, 6] ; [15, 19]
[4, 12] ; [82, 88]
[7, 11] ; [3, 6]
[91, 97] ; [3, 7]
[4, 10] ; [17, 33]
[0, 6] ; [10, 14]
[14, 20] ; [57, 62]
[37, 41] ; [11, 17]
[-1, 18] ; [64, 67]
[0, 7] ; [95, 98]
[6, 12] ; [24, 27]
[0, 6] ; [89, 94]
[13, 15] ; [51, 61]
[2, 6] ; [93, 97]
[0, 3] ; [60, 62]
[0, 9] ; [24, 29]
[5, 8] ; [28, 31]
[3, 10] ; [93, 95]
[23, 28] ; [31, 35]
[50, 55] ; [68, 72]
[0, 10] ; [21, 23]
[3, 7] ; [168, 170]
[0, 3] ; [39, 47]
[33, 38] ; [2, 10]
[66, 72] ; [21, 30]
[0, 8] ; [113, 115]
[0, 8] ; [65, 69]
[22, 29] ; [30, 58]
[2, 4] ; [5, 15]
[0, 4] ; [48, 55]
[3, 13] ; [60, 63]
[4, 7] ; [7, 13]
[0, 8] ; [17, 23]
[63, 67] ; [26, 29]
[160, 165] ; [177, 182]
[6, 10] ; [37, 41]
[8, 11] ; [82, 89]
[0, 6] ; [11, 16]
[1, 11] ; [95, 100]
[12, 17] ; [41, 46]
[0, 4] ; [91, 102]
[0, 10] ; [11, 41]
[0, 10] ; [100, 108]
[0, 6] ; [44, 48]
[6, 9] ; [66, 72]
[2, 11] ; [59, 62]
[0, 6] ; [32, 35]
[1, 6] ; [95, 97]
[0, 4] ; [8, 17]
[32, 34] ; [35, 45]
[8, 11] ; [160, 166]
[3, 8] ; [30, 33]
[0, 2] ; [53, 57]
[13, 17] ; [71, 74]
[6, 10] ; [35, 38]
[0, 10] ; [82, 84]
[37, 41] ; [46, 51]
[0, 6] ; [10, 12]
[0, 6] ; [28, 34]
[21, 28] ; [29, 33]
[0, 5] ; [26, 28]
[3, 7] ; [12, 24]
[0, 7] ; [34, 38]
[2, 12] ; [139, 143]
