[85, 90] ; [127, 136]
[3, 19] ; [32, 34]
[11, 14] ; [16, 20]
[99, 102] ; [52, 62]
[9, 11] ; [12, 19]
[-1, 18] ; [25, 31]
[51, 53] ; [183, 190]
[0, 8] ; [18, 25]
[16, 19] ; [118, 122]
[2, 5] ; [104, 106]
[30, 34] ; [146, 150]
[25, 33] ; [39, 43]
[51, 57] ; [58, 85]
[0, 7] ; [19, 26]
[25, 34] ; [67, 74]
[-1, 18] ; [79, 82]
[6, 8] ; [101, 103]
[0, 2] ; [6, 10]
[81, 83] ; [68, 72]
[0, 11] ; [13, 23]
[144, 149] ; [156, 160]
[0, 3] ; [16, 18]
[6, 10] ; [33, 43]
[3, 8] ; [14, 25]
[0, 6] ; [28, 33]
[3, 10] ; [11, 14]
[52, 57] ; [172, 177]
[0, 6] ; [44, 47]
[30, 34] ; [63, 71]
[0, 7] ; [33, 40]
[55, 60] ; [36, 51]
[-1, 18] ; [46, 50]
[-1, 18] ; [48, 50]
[0, 8] ; [142, 144]
[107, 109] ; [39, 45]
[4, 11] ; [19, 20]
[27, 35] ; [63, 79]
[0, 5] ; [41, 45]
[15, 24] ; [132, 136]
[6, 13] ; [80, 82]
[0, 5] ; [11, 15]
[56, 59] ; [127, 129]
[90, 93] ; [61, 64]
[29, 32] ; [25, 28]
[0, 5] ; [58, 63]
[12, 16] ; [24, 28]
[13, 18] ; [71, 76]
[2, 7] ; [42, 44]
[3, 7] ; [100, 109]
[0, 6] ; [7, 26]
[4, 12] ; [65, 67]
[2, 8] ; [58, 60]
[20, 25] ; [27, 31]
[11, 19] ; [38, 40]
[36, 43] ; [44, 69]
[0, 9] ; [65, 71]
[-1, 18] ; [75, 77]
[6, 11] ; [55, 62]
[32, 35] ; [12, 15]
[67, 70] ; [90, 92]
[49, 57] ; [61, 67]
[-1, 18] ; [40, 42]
[65, 67] ; [58, 62]
[3, 6] ; [43, 45]
[0, 6] ; [14, 18]
[2, 8] ; [85, 87]
[7, 13] ; [38, 42]
[0, 4] ; [111, 115]
[20, 23] ; [29, 35]
[0, 9] ; [25, 31]
[75, 81] ; [38, 42]
[8, 14] ; [3, 8]
[2, 7] ; [116, 120]
[63, 66] ; [205, 207]
[3, 12] ; [77, 80]
[0, 6] ; [25, 34]
[15, 17] ; [7, 14]
[3, 10] ; [92, 95]
[0, 10] ; [62, 67]
[24, 28] ; [55, 59]
[0, 4] ; [5, 9]
[25, 30] ; [42, 46]
[0, 6] ; [44, 49]
[0, 4] ; [8, 10]
[138, 165] ; [166, 169]
[0, 8] ; [17, 23]
[23, 28] ; [34, 38]
[0, 7] ; [40, 42]
[3, 11] ; [68, 75]
[41, 45] ; [22, 25]
[2, 10] ; [121, 128]
[2, 9] ; [17, 24]
[0, 6] ; [10, 20]
[0, 9] ; [33, 38]
[0, 2] ; [24, 29]
[0, 2] ; [10, 16]
[0, 10] ; [79, 83]
[3, 6] ; [112, 116]
[53, 57] ; [78, 80]
[9, 16] ; [72, 76]
[47, 52] ; [67, 72]
[4, 8] ; [94, 101]
[0, 7] ; [35, 38]
[4, 7] ; [69, 76]
[0, 6] ; [53, 57]
[12, 17] ; [67, 71]
[0, 5] ; [12, 17]
[0, 5] ; [20, 24]
[2, 12] ; [123, 132]
[0, 3] ; [49, 59]
[0, 7] ; [15, 19]
[2, 9] ; [65, 68]
[0, 4] ; [105, 112]
[40, 43] ; [86, 90]
[0, 4] ; [36, 42]
[0, 8] ; [-1, 17]
[2, 10] ; [64, 66]
[9, 15] ; [-1, 17]
[20, 25] ; [32, 36]
[9, 15] ; [85, 96]
[0, 6] ; [34, 38]
[3, 10] ; [14, 21]
[39, 43] ; [15, 20]
[0, 3] ; [16, 18]
[0, 4] ; [25, 31]
[0, 7] ; [35, 38]
[80, 86] ; [10, 14]
[31, 35] ; [22, 26]
[55, 58] ; [3, 7]
[2, 6] ; [28, 31]
[8, 11] ; [0, 4]
[3, 8] ; [222, 226]
[3, 9] ; [72, 74]
[0, 9] ; [92, 96]
[113, 119] ; [148, 151]
[16, 25] ; [8, 13]
[6, 10] ; [38, 45]
[10, 12] ; [120, 123]
[0, 3] ; [32, 34]
[6, 12] ; [33, 35]
[0, 5] ; [18, 22]
[3, 9] ; [23, 28]
[0, 6] ; [10, 20]
[6, 10] ; [32, 34]
[0, 3] ; [116, 122]
[4, 9] ; [72, 77]
[30, 36] ; [5, 16]
[0, 3] ; [65, 70]
[2, 7] ; [29, 36]
[0, 3] ; [6, 15]
[6, 11] ; [26, 28]
[0, 6] ; [33, 36]
[20, 27] ; [0, 6]
[17, 24] ; [68, 73]
[0, 7] ; [11, 18]
[0, 5] ; [24, 33]
[27, 32] ; [20, 26]
[0, 4] ; [7, 17]
[38, 43] ; [60, 65]
[63, 66] ; [20, 22]
[0, 5] ; [6, 9]
[0, 7] ; [9, 13]
[0, 8] ; [12, 22]
[2, 5] ; [24, 29]
[0, 7] ; [84, 91]
[0, 4] ; [44, 46]
[0, 4] ; [20, 24]
[3, 6] ; [10, 20]
[3, 7] ; [60, 64]
[97, 99] ; [0, 2]
[4, 12] ; [76, 78]
[27, 36] ; [37, 40]
[42, 49] ; [53, 61]
[0, 7] ; [99, 104]
[161, 163] ; [164, 177]
[0, 4] ; [9, 13]
[12, 15] ; [37, 41]
[2, 10] ; [90, 100]
[47, 50] ; [0, 5]
[36, 41] ; [61, 63]
[49, 54] ; [11, 13]
[3, 8] ; [26, 28]
[0, 7] ; [53, 57]
[3, 7] ; [12, 26]
[0, 3] ; [113, 117]
[37, 40] ; [86, 88]
[6, 10] ; [47, 55]
[0, 3] ; [41, 42]
[3, 11] ; [20, 56]
[20, 25] ; [38, 40]
[15, 24] ; [54, 57]
[0, 3] ; [4, 9]
[51, 57] ; [98, 106]
[18, 24] ; [51, 55]
[59, 64] ; [65, 74]
[0, 3] ; [10, 13]
[71, 77] ; [15, 19]
[6, 10] ; [74, 79]
[31, 37] ; [38, 40]
[110, 118] ; [13, 22]
[0, 5] ; [-1, 17]
[78, 82] ; [87, 94]
[2, 6] ; [18, 30]
[27, 30] ; [165, 168]
[14, 20] ; [27, 35]
[15, 19] ; [28, 39]
[0, 4] ; [61, 64]
[0, 6] ; [70, 78]
[68, 78] ; [117, 120]
[0, 3] ; [95, 105]
[0, 7] ; [18, 20]
[0, 7] ; [60, 64]
[65, 70] ; [34, 38]
[6, 11] ; [58, 62]
[58, 65] ; [66, 109]
[8, 12] ; [27, 30]
[19, 21] ; [24, 30]
[165, 174] ; [192, 197]
[13, 18] ; [24, 26]
[56, 63] ; [85, 89]
[52, 60] ; [61, 92]
[12, 16] ; [76, 82]
[0, 6] ; [69, 73]
[12, 15] ; [31, 35]
[52, 55] ; [9, 13]
[0, 7] ; [35, 42]
[0, 7] ; [31, 39]
[2, 8] ; [17, 34]
[9, 15] ; [31, 34]
[25, 29] ; [82, 84]
[8, 10] ; [33, 35]
[0, 5] ; [81, 85]
[0, 5] ; [148, 152]
[7, 13] ; [36, 40]
[-1, 18] ; [15, 19]
[11, 20] ; [44, 76]
[0, 6] ; [18, 26]
[0, 6] ; [16, 22]
[0, 2] ; [19, 21]
[0, 9] ; [103, 105]
[2, 7] ; [35, 42]
[0, 6] ; [12, 16]
[9, 19] ; [55, 58]
[0, 3] ; [39, 43]
[0, 5] ; [76, 84]
[0, 5] ; [51, 55]
[0, 7] ; [26, 28]
[3, 10] ; [78, 80]
[0, 3] ; [63, 78]
[1, 4] ; [54, 59]
[0, 2] ; [5, 10]
[91, 97] ; [3, 7]
[2, 8] ; [100, 104]
[1, 6] ; [32, 34]
[2, 11] ; [34, 36]
[0, 4] ; [33, 37]
[0, 4] ; [42, 53]
[0, 5] ; [50, 53]
[0, 5] ; [50, 54]
[28, 32] ; [17, 19]
[3, 6] ; [22, 28]
[0, 5] ; [29, 31]
[8, 11] ; [43, 46]
[33, 37] ; [130, 134]
[33, 37] ; [0, 5]
[3, 10] ; [18, 23]
[0, 5] ; [109, 118]
[7, 11] ; [18, 20]
[168, 175] ; [205, 214]
[0, 8] ; [33, 42]
[0, 4] ; [42, 53]
[0, 9] ; [107, 113]
[0, 6] ; [30, 34]
[6, 15] ; [28, 36]
[3, 10] ; [43, 45]
[0, 2] ; [6, 13]
[12, 17] ; [25, 31]
[6, 11] ; [95, 100]
[0, 5] ; [6, 10]
[0, 3] ; [49, 59]
[15, 18] ; [98, 104]
[48, 51] ; [2, 7]
[11, 13] ; [42, 48]
[7, 11] ; [12, 21]
[3, 8] ; [110, 114]
[10, 15] ; [48, 54]
[6, 14] ; [21, 30]
[0, 6] ; [61, 65]
[106, 113] ; [134, 136]
[0, 3] ; [34, 38]
[6, 10] ; [25, 29]
[2, 8] ; [188, 198]
[40, 45] ; [98, 100]
[20, 30] ; [52, 54]
[0, 4] ; [100, 102]
[16, 21] ; [44, 46]
[0, 3] ; [47, 51]
[34, 37] ; [19, 26]
[54, 57] ; [0, 6]
[3, 8] ; [131, 136]
[15, 19] ; [63, 69]
[9, 12] ; [17, 23]
[0, 6] ; [33, 41]
[0, 3] ; [28, 30]
[0, 6] ; [47, 51]
[2, 6] ; [183, 186]
[0, 10] ; [36, 44]
[0, 3] ; [5, 8]
[0, 2] ; [11, 16]
[48, 57] ; [118, 120]
[2, 7] ; [53, 59]
[9, 13] ; [56, 60]
[0, 6] ; [131, 138]
[50, 55] ; [59, 65]
[30, 41] ; [83, 91]
[15, 21] ; [57, 64]
[2, 7] ; [50, 54]
[0, 4] ; [19, 23]
[90, 93] ; [82, 86]
[2, 6] ; [57, 59]
[0, 3] ; [7, 9]
[6, 12] ; [16, 24]
[34, 40] ; [61, 66]
[0, 5] ; [19, 21]
[0, 5] ; [27, 33]
[0, 2] ; [5, 8]
[2, 12] ; [156, 160]
[0, 3] ; [18, 21]
[0, 7] ; [29, 33]
[0, 5] ; [19, 23]
[4, 14] ; [58, 61]
[2, 11] ; [37, 39]
[-1, 18] ; [16, 24]
[0, 6] ; [24, 32]
[37, 40] ; [76, 123]
[0, 3] ; [33, 38]
[2, 4] ; [19, 22]
[0, 6] ; [10, 14]
[0, 5] ; [11, 13]
[2, 8] ; [56, 62]
[3, 9] ; [69, 75]
[6, 10] ; [50, 55]
[0, 6] ; [32, 37]
[0, 4] ; [38, 40]
[6, 8] ; [171, 183]
[2, 7] ; [13, 31]
[0, 4] ; [5, 8]
[0, 3] ; [35, 42]
[44, 48] ; [10, 13]
[0, 6] ; [52, 59]
[0, 3] ; [19, 22]
[40, 42] ; [49, 53]
[10, 16] ; [43, 46]
[-1, 18] ; [23, 27]
[2, 6] ; [25, 33]
[4, 9] ; [84, 87]
[2, 7] ; [116, 121]
[0, 6] ; [81, 87]
[15, 19] ; [54, 59]
[13, 15] ; [40, 50]
[0, 3] ; [6, 11]
[0, 6] ; [57, 59]
[43, 46] ; [-1, 17]
[25, 30] ; [83, 89]
[0, 7] ; [11, 16]
[0, 3] ; [57, 59]
[-1, 18] ; [48, 51]
[0, 4] ; [27, 32]
[0, 7] ; [124, 131]
[3, 6] ; [-1, 17]
[12, 16] ; [79, 85]
[2, 7] ; [13, 23]
[13, 20] ; [28, 34]
[0, 6] ; [7, 15]
[89, 93] ; [67, 74]
[0, 6] ; [36, 49]
[-1, 18] ; [41, 45]
[2, 7] ; [77, 86]
[0, 5] ; [33, 40]
[0, 2] ; [24, 26]
[0, 4] ; [36, 40]
[22, 27] ; [59, 68]
[0, 2] ; [22, 25]
[100, 105] ; [87, 93]
[6, 11] ; [92, 96]
[40, 52] ; [97, 99]
[5, 7] ; [15, 20]
[14, 19] ; [3, 11]
[23, 27] ; [29, 35]
[22, 29] ; [4, 13]
[40, 42] ; [29, 39]
[3, 10] ; [35, 37]
[4, 7] ; [65, 69]
[0, 9] ; [39, 44]
[0, 3] ; [7, 12]
[9, 12] ; [95, 99]
[0, 7] ; [52, 61]
[32, 38] ; [137, 139]
[55, 59] ; [66, 71]
[3, 11] ; [117, 121]
[35, 40] ; [41, 52]
[16, 22] ; [96, 100]
[0, 6] ; [10, 18]
[3, 12] ; [58, 61]
[17, 21] ; [51, 55]
[0, 3] ; [20, 29]
[0, 6] ; [7, 13]
[43, 49] ; [14, 21]
[12, 18] ; [38, 41]
[0, 6] ; [50, 57]
[17, 27] ; [12, 14]
[20, 22] ; [80, 83]
[7, 15] ; [24, 30]
[0, 4] ; [26, 34]
[6, 10] ; [76, 80]
[68, 71] ; [43, 50]
[0, 3] ; [26, 33]
[-1, 18] ; [65, 87]
[3, 10] ; [266, 270]
[0, 4] ; [8, 15]
[0, 3] ; [68, 73]
[0, 6] ; [37, 40]
[21, 27] ; [121, 130]
[37, 42] ; [157, 162]
[3, 6] ; [131, 135]
[0, 5] ; [16, 21]
[65, 74] ; [109, 113]
[0, 5] ; [36, 40]
[0, 7] ; [25, 33]
[20, 25] ; [52, 54]
[8, 15] ; [109, 112]
[68, 74] ; [29, 32]
[3, 7] ; [134, 136]
[18, 26] ; [3, 5]
[0, 10] ; [142, 146]
[130, 132] ; [91, 94]
[8, 10] ; [31, 37]
[12, 17] ; [7, 11]
[0, 5] ; [33, 39]
[0, 3] ; [7, 13]
[37, 42] ; [49, 54]
[-1, 18] ; [78, 80]
[6, 13] ; [130, 133]
[13, 16] ; [45, 48]
[0, 6] ; [56, 60]
[10, 16] ; [18, 26]
[0, 5] ; [15, 20]
[9, 15] ; [68, 72]
[14, 23] ; [105, 109]
[34, 41] ; [63, 65]
[75, 81] ; [22, 32]
[0, 6] ; [10, 13]
[26, 33] ; [73, 77]
[2, 7] ; [39, 41]
[3, 10] ; [87, 91]
[0, 3] ; [60, 66]
[3, 11] ; [20, 56]
[3, 10] ; [131, 133]
[29, 37] ; [96, 99]
[0, 3] ; [28, 34]
[53, 55] ; [122, 127]
[8, 11] ; [15, 19]
[18, 27] ; [-1, 17]
[3, 8] ; [71, 78]
[9, 12] ; [26, 29]
[102, 108] ; [23, 28]
[6, 10] ; [18, 20]
[5, 7] ; [84, 93]
[0, 5] ; [125, 130]
[7, 10] ; [25, 27]
[0, 3] ; [24, 29]
[0, 6] ; [24, 29]
[25, 27] ; [142, 147]
[0, 6] ; [10, 14]
[3, 7] ; [180, 190]
[0, 6] ; [23, 31]
[3, 11] ; [83, 87]
[9, 14] ; [40, 42]
[6, 16] ; [39, 49]
[0, 3] ; [11, 12]
[98, 103] ; [34, 39]
[0, 3] ; [15, 18]
[9, 14] ; [15, 26]
[3, 8] ; [25, 34]
[9, 12] ; [-1, 17]
[2, 6] ; [170, 174]
[0, 6] ; [15, 25]
[0, 6] ; [90, 92]
[0, 7] ; [35, 42]
[0, 7] ; [27, 29]
[0, 6] ; [30, 32]
[65, 70] ; [9, 12]
[2, 7] ; [8, 12]
[0, 6] ; [84, 89]
[0, 2] ; [130, 133]
[2, 6] ; [72, 77]
[0, 3] ; [18, 22]
[0, 10] ; [140, 149]
[0, 7] ; [-1, 17]
[52, 54] ; [63, 66]
[3, 8] ; [68, 76]
[0, 9] ; [71, 75]
[17, 20] ; [22, 26]
[51, 59] ; [60, 64]
[0, 6] ; [7, 16]
[2, 10] ; [42, 46]
[0, 6] ; [40, 45]
[16, 24] ; [118, 120]
[3, 9] ; [51, 54]
[2, 7] ; [44, 51]
[3, 8] ; [18, 38]
[21, 24] ; [72, 75]
[16, 21] ; [53, 57]
[0, 5] ; [6, 21]
[2, 8] ; [52, 60]
[118, 121] ; [122, 132]
[0, 3] ; [57, 64]
[0, 4] ; [8, 10]
[0, 6] ; [15, 19]
[3, 7] ; [167, 170]
[3, 6] ; [70, 73]
[0, 4] ; [12, 16]
[29, 32] ; [56, 60]
[0, 3] ; [6, 9]
[0, 2] ; [51, 56]
[0, 6] ; [74, 76]
[0, 2] ; [6, 9]
[10, 14] ; [94, 99]
[22, 27] ; [0, 3]
[47, 52] ; [67, 72]
[0, 5] ; [24, 31]
[0, 3] ; [4, 6]
[71, 77] ; [52, 54]
[144, 149] ; [169, 174]
[6, 9] ; [29, 36]
[5, 9] ; [93, 95]
[0, 6] ; [54, 58]
[5, 7] ; [12, 17]
[0, 4] ; [55, 60]
[4, 10] ; [82, 84]
[4, 8] ; [12, 14]
[9, 18] ; [54, 62]
[21, 25] ; [0, 2]
[9, 17] ; [24, 26]
[15, 20] ; [6, 12]
[77, 83] ; [92, 100]
[14, 19] ; [63, 65]
[6, 10] ; [61, 63]
[0, 2] ; [62, 67]
[0, 2] ; [63, 66]
[0, 5] ; [12, 16]
[2, 4] ; [35, 37]
[5, 9] ; [58, 63]
[47, 51] ; [85, 89]
[1, 7] ; [9, 13]
[29, 32] ; [41, 94]
[0, 4] ; [59, 62]
[106, 114] ; [115, 118]
[60, 62] ; [75, 77]
[39, 42] ; [31, 36]
[9, 14] ; [33, 38]
[3, 9] ; [29, 34]
[7, 9] ; [43, 46]
[102, 111] ; [0, 2]
[3, 8] ; [73, 79]
[2, 8] ; [-1, 17]
[9, 12] ; [89, 93]
[5, 7] ; [127, 131]
[0, 5] ; [63, 69]
[10, 13] ; [55, 57]
[6, 11] ; [24, 32]
[0, 3] ; [12, 18]
[0, 4] ; [57, 64]
[59, 66] ; [72, 76]
[0, 2] ; [58, 67]
[-1, 18] ; [51, 62]
[0, 3] ; [4, 11]
[0, 6] ; [37, 44]
[0, 2] ; [13, 18]
[0, 1] ; [18, 22]
[9, 15] ; [84, 88]
[0, 11] ; [28, 34]
[34, 37] ; [9, 13]
[3, 10] ; [43, 49]
[-1, 18] ; [22, 25]
[0, 6] ; [60, 62]
[0, 3] ; [28, 33]
[2, 8] ; [24, 28]
[7, 13] ; [36, 42]
[3, 8] ; [122, 128]
[0, 6] ; [50, 55]
[75, 77] ; [78, 82]
[63, 68] ; [5, 10]
[6, 12] ; [40, 47]
[2, 9] ; [73, 82]
[2, 8] ; [114, 117]
[0, 2] ; [37, 39]
[0, 3] ; [33, 38]
[2, 4] ; [48, 52]
[9, 15] ; [60, 64]
[0, 3] ; [17, 22]
[10, 17] ; [20, 26]
[9, 15] ; [91, 98]
[0, 6] ; [10, 14]
[3, 10] ; [128, 131]
[0, 7] ; [26, 29]
[47, 51] ; [62, 65]
[24, 29] ; [80, 87]
[5, 9] ; [21, 28]
[10, 13] ; [28, 38]
[0, 4] ; [43, 46]
[3, 7] ; [12, 27]
[2, 11] ; [72, 79]
[36, 43] ; [99, 103]
[1, 4] ; [44, 46]
[0, 6] ; [40, 46]
[0, 4] ; [13, 18]
[22, 30] ; [36, 41]
[0, 7] ; [26, 34]
[5, 7] ; [8, 11]
[0, 7] ; [54, 57]
[0, 5] ; [11, 15]
[0, 5] ; [18, 22]
[0, 7] ; [105, 112]
[0, 5] ; [14, 20]
[2, 8] ; [82, 91]
[28, 31] ; [59, 63]
[5, 8] ; [48, 50]
[0, 4] ; [9, 13]
[58, 62] ; [87, 90]
[2, 7] ; [76, 80]
[11, 34] ; [35, 37]
[0, 5] ; [-1, 17]
[6, 9] ; [51, 55]
[0, 8] ; [20, 25]
[3, 9] ; [16, 21]
[0, 6] ; [28, 30]
[4, 10] ; [17, 33]
[0, 6] ; [46, 49]
[35, 41] ; [-1, 17]
[5, 8] ; [67, 71]
[10, 15] ; [30, 38]
[3, 11] ; [129, 139]
[-1, 18] ; [16, 21]
[5, 10] ; [91, 96]
[0, 3] ; [142, 147]
[0, 9] ; [30, 35]
[3, 7] ; [53, 57]
[-1, 18] ; [26, 30]
[3, 5] ; [184, 190]
[0, 4] ; [37, 41]
[78, 82] ; [96, 100]
[0, 6] ; [58, 60]
[20, 24] ; [54, 60]
[5, 14] ; [25, 28]
[0, 5] ; [25, 27]
[0, 1] ; [58, 65]
[63, 70] ; [89, 91]
[2, 7] ; [107, 110]
[2, 7] ; [137, 140]
[12, 15] ; [223, 229]
[0, 6] ; [19, 23]
[0, 6] ; [87, 91]
